ID,Nisba,Arabic Nisba
1466,Yadnhanḍī,يدنهنضي
1467,Yaḥyāwī,يحيوي
1468,Yusufī,يوسفي
1469,Zalmāṭī,زلماطي
1470,Zaynabī,زينبي
1471,Zuʾaymī,زعيمي
1474,Mahẓarī,محظري
1476,Jāhalī,جاهاي
1485,Jubīhī,جبيهي
1488,Amhānī,أمهاني
1489,Bῡrī,بوري
1490,Turkī,تركي
1491,Tafī,تفي
1492,Tamdhī,تمذي
1493,Tamrat,تمرت
1494,Jarsifī,جرسيفي
1495,Jazāmī,جزامي
1497,Jalῡnī,جلوتي
1498,Dardīrī,درديري
1499,Dakῡrī,دكوري
1500,Ramāni,رماني
1501,Zamānī,زماني
1502,Zamkharshī,زمخرشي
1503,Saʿnawī,سعنوي
1504,Samnunī,سمنوني
1505,Shablanji,شبلنجي
1508,Kabāsī,كباسي
1509,Kanjῡrī,كنجوري
1510,Kūrānī,كوراني
1511,Kaykawī,كيكوي
1512,Laḥnūwī,لحنوي
1513,Marsī,مرسي
1515,Waqaṣī,وقصى
1516,Yῡnī,يوني
1517,Abshīhī,أبشيهي
1518,Bujbihī,بوجبهي
1519,Habaṭī,هبطي
1520,Hūzālī,هوزالي
1521,Idaw ʿAlī,أدو علي
1522,Idawrīsh,إدريس
1523,Inūkandarī (al-Inkundarī?),أنوكندري (الإنكندري?)
1524,Istānbūlī,إستانبولي
1525,Jamzūrī,جمزوري
1526,Jarāy,جراي
1527,Kutāmī,كُتَامي
1528,Mahzῡlī,مهزولي
1529,Mustaghānamī,مُسْتَغانِمي
1530,Qarnūnī,قرنوني
1531,Sadāwī,سداوي
1535,Satrakawī,ستركوي
1536,Trāwarī (Traoré),تراوري
1537,Bākanghī,باكنغي
1538,Qatanī,قتني
1539,Ḥallī,حلى
1540,Washī,وشى
1541,Kāhī,كاهى
1542,Saʿadawī,سعدوى
1543,Marjāzīj,مرجازيج
1544,Tarāwarī,تراوري
1546,Banhasī,بنهسي
1547,Sanmawī,سنموى
1549,Kῡrīsī,كوريسى
